SIGLA	NOME CONFERÊNCIA	Qualis
ICWMC	IARIA International Conference on Wireless and Mobile Communications	B5
ICWN	WC International Conference on Wireless Networks	B5
ICWS	IEEE International Conference on Web Services	A2
ICWSM	International AAAI Conference on Weblogs and Social Media	A1
IDC	International Symposium on Intelligent Distributed Computing	B2
IDCS	International Conference on Internet and Distributed Computing Systems	B3
IDEAL	International Conference on Intelligent Data Engineering and Automated Learning	B2
IDEAS	International Database Engineering and Applications Symposium	B2
IEA/AIE	International Conference on Industrial Engineering & Other Applications of Applied Intelligence Systems	B3
IECON	Annual Conference of the IEEE Industrial Electronics Society	B2
IEEEE CLOUD	"IEEE International Conference on Cloud Computing "	A1
IA	IEEE Symposium on Intelligent Agents	B4
IEEENANO	International Conference on Nanotechnology	B1
SCC	IEEE International Conference on Services Computing	A2
iEMSs	International Congress on Environmental Modelling & Software	B5
IFAC	World Congress of the International Federation  of Automatic Control	B2
IFM	International Conference on Integrated Formal Methods	B2
IFUZZY	International Conference on Fuzzy Theory and its Applications	B3
IGARSS	IEEE International Geoscience and Remote Sensing Symposium	B2
IGIC	IEEE International Games Innovation Conference	B2
IHM	Conférence Francophone sur l’Interaction Homme-Machine	B3
IHC	IHC'2016	B2
IHC	Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais	B2
IISA	International Conference on Information, Intelligence, Systems and Applications	B2
IISWC	IEEE International Symposium on Workload Characterization	A2
iiWAS	International Conference on Information Integration and Web-based Applications & Services	B1
IJCAI	International Joint Conference on Artificial Intelligence	A1
IJCCI	International Joint Conference on Computational Intelligence	B3
IJCNN	IEEE International Joint Conference on Neural Networks	A1
IM	IFIP/IEEE International Symposium on Integrated Network Management	A2
IMC	ACM Internet Measurement Conference	A1
IMIS	International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing	A2
IMOC	SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference	B4
IMR	International Meshing Roundtable and User Forum	B1
INCOS	International Conference on Intelligent Networking and Collaborative Systems	B1
INDIN	IEEE International Conference on Industrial Informatics	B1
INDUSCON	International Conference on Industry Applications	B4
INFOCOM	IEEE International Conference on Computer Communications	A1
INNOV	IARIA International Conference on Communications, Computation, Networks and Technologies	B5
INTECH	International Conference on Innovative Computing Technology	B3
INTELLI	IARIA International Conference on Intelligent Systems and Applications	B5
INTERACT	IFIP TC 13 International Conference on Human-Computer Interaction	A2
INTERSPEECH	Conference of the International Speech Communication Association	A1
IOLTS	IEEE International On-Line Testing Symposium	B1
IoTAAL	Workshop on Internet of Things for Ambient Assisted Living	B5
IPCCC	International Performance, Computing, and Communications Conference	B1
IPCV	WC International Conference on Image Processing, Computer Vision, and Pattern Recognition (WC)	B5
IPDPS	IEEE International Parallel & Distributed Processing Symposium	A1
IPDPSW	IEEE International Parallel & Distributed Processing Symposium Workshops	B4
IPSN	International Conference on Information Processing in Sensor Networks	A1
IPVC	WC International Conference on Image Processing, Computer Vision, and Pattern Recognition	B5
IRI	IEEE International Conference on Information Reuse and Integration	B1
IROS	IEEE/RSJ International Conference on Intelligent Robots and Systems	A1
ISAAC	International Symposium Algorithms and Computation	B1
ISBI	IEEE International Symposium on Biomedical Imaging	B2
ISBRA	International Symposium on Bioinformatics Research and Applications	B4
ISCA	International Symposium on Computer Architecture	A1
ISCAS	IEEE International Symposium on Circuits and Systems	A1
ISCAW	"Image-Based Smart City Application Workshop "	B5
ISCC	International Symposium on Computers and Communications	A2
ISCIS	International Symposium on Computer and Information Sciences	B2
ISCO	International Symposium on Combinatorial Optimization	B3
ISCRAM	International Conference on Information Systems for Crisis Response and Management	B4
ISDA	International Conference on Intelligent Systems Design and Applications	B1
ISD	International Conference on Information Systems Development	B3
ISEOLE	International Workshop on Intelligent Support in Exploratory and Open-Ended Learning Environments	B4
ISGT-Europe	IEEE International Conference on Innovative Smart Grid Technologies	B2
ISI	IEEE International Conference on Intelligence and Security Informatics	B1
ISIE	IEEE International Symposium on Industrial Electronics	B3
ISIT	International Symposium on Information Theory	A1
ISLPED	International Symposium on Low Power Electronics and Design	A2
ISM	IEEE International Symposium on Multimedia	B1
ISMIR	International Society for Music Information Retrieval Conference	A1
ISMIS	International Symposium on Methodologies for Intelligent Systems	B2
ISMM	International Symposium on Mathematical Morphology	B3
ISNN	International Symposium on Neural Networks	B1
ISORC	"IEEE International Symposium on RealTime Distributed Computing "	B1
ISPASS	International Symposium on Performance Analysis of Systems and Software	A2
ISPD	ACM International Symposium on Physical Design	B1
ISPDC	International Symposium on Parallel and Distributed Computing	B1
ISQED	International Symposium on Quality Electronic Design	B1
ISSI	International Society of Scientometrics and Informetrics Conference	B3
ISSRE	IEEE International Symposium on Software Reliability Engineering	A2
IST	International Conference on Imaging Systems and Techniques	B2
iStar	International  i*Workshop	B3
ISVC	International Symposium on Visual Computing	B1
ISVLSI	IEEE Computer Society Annual Symposium on VLSI	B1
ISWC	International Semantic Web Conference	A1
ISWCS	International Symposium on Wireless Communication Systems	A2
ISWPC	International Symposium on Wireless and Pervasive Computing	B5
ITA	International Conference on Internet Technologies and Applications	B4
ITHET	International Conference on Information Technology Based Higher Education and Training	B2
ITiCSE	ACM Conference on Innovation and Technology in Computer Science Education	A2
ITNG	International Conference on Information Technology : New Generations	B1
ITNG	ITNG - 2015 12th International Conference on Information Technology	B1
ITS	International Conference on Intelligent Tutoring Systems	B1
ITSC	IEEE International Conference on Intelligent Transportation Systems	B2
IUI	International Conference on Intelligent User Interfaces	A2
IV	International Conference on Information Visualisation	B1
IVAPP	International Conference on Information Visualization Theory and Applications	B2
IVS	Intelligent Vehicles Symposium	B1
IWANN	International Work-Conference on Artificial and Natural Neural Networks	B2
IWBBIO	International Work-Conference on Bioinformatics and Biomedical Engineering	B2
IWCMC	International Conference on Wireless Communications and Mobile Computing	A2
IWEC	International Workshop on Entertainment Computing	B1
IWLS	International Workshop on Logic and Synthesis	B4
IWPSE	International Workshop on Principles of Software Evolution	B5
IWS	Iberchip Workshop	B5
IWSSIP	International Conference on Systems, Signals and Image Processing	B1
JCDL	ACM/IEEE Joint Conference on Digital Libraries	A2
JCSSE	International Joint Conference on Computer Science and Software Engineering	B2
KDD	ACM SIGKDD Conference on Knowledge Discovery and Data Mining	A1
KES	International Conference on Knowledge-Based and Intelligent Information & Engineering Systems	B1
KES-AMSTA	International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications	B2
KMO	International Conference on Knowledge Management in Organizations	B3
KnowLOD	Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data	B4
KR	International Conference on Principles of Knowledge Representation and Reasoning	A2
LA-CCI	Latin American Conference on Computational Intelligence	B4
LA-WEB	Latin American Web Congress	B3
LACLO	Latin American Conference on Learning Objects and Technologies	B4
LADC	Latin-American Symposium on Dependable Computing	B3
LAFM	Latin American Workshop on Formal Methods	B5
LAGOS	Latin-American Algorithms, Graphs and Optimization Symposium	B3
LAK	International Learning Analytics and Knowledge Conference	A1
LANC	Latin American Networking Conference	B3
LANMR	Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning	B5
LANOMS	Latin-American Network Operations and Management Symposium	B5
LASCAS	IEEE Latin American Symposium on Circuits and Systems	B2
LATIN	Latin American Symposium on Theoretical Informatics	B1
LATINCOM	IEEE  Latin-American Conference on Communications	B2
LATINCRYPT	International Conference on Cryptology and Information Security in Latin America	B3
LATW	Latin American Test Workshop	B2
LAWGC	Latin American Workshop on Cliques in Graphs	B5
LCN	IEEE Conference on Local Computer Networks	B1
LION	Learning and Intelligent Optimization Conference	B1
LISS	International Conference on Logistics, Informatics and Services Sciences	B5
LPNMR	International Conference on Logic Programming and Non-monotonic Reasoning	B1
LREC	International Conference on Language Resources and Evaluation	A1
M&N	IEEE International Workshop on Measurements & Networking	B3
MASCOTS	International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems	A2
MASLE	Workshop in Multiagent System Based Learning Environments	B5
MATES	German Conference on Multiagent System Technologies	B2
MCPR	Mexican Conference on Pattern Recognition	B2
MDAI	International Conference on Modeling Decisions for Artificial Intelligence	B2
MDM	IEEE International Conference on Mobile Data Management	A2
MEDES	International Conference on Management of Emergent Digital EcoSystems	B2
Med-Hoc-Net	Annual Mediterranean Ad Hoc Networking Workshop	B1
MeMeA	IEEE International Symposium on Medical Measurements and Applications	B3
MobileHCI	"International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct "	A1
MICAI	Mexican International Conference on Artificial Intelligence	B1
MICCAI	International Conference on Medical Image Computing and Computer Assisted Intervention	B1
MIDDLEWARE	International Middleware Conference	A2
MIG	ACM Siggraph Conference on Motion in Games	B2
MIG	ACM Siggraph Internation Conference	B2
MISE	Workshop on Modeling in Software Engineering	B4
MLDM	International Conference on Machine Learning and Data Mining	B2
MLSP	International Workshop on Machine Learning for Signal Processing	B1
MMM	International Conference on Multimedia Modelling	B1
MMSP	International Workshop on Multimedia and Signal Processing	B1
MMSys	ACM Multimedia Systems Conference	A2
MobiArch	Workshop on Mobility in the Evolving Internet Architecture	B4
MOBICOM	ACM/IEEE International Conference on Mobile Computing and Networking	A1
MobiQuitous	International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services	B1
MOBIWAC	ACM International Symposium on Mobility Management and Wireless Access	B2
MODELS	International Conference on Model Driven Engineering Languages and Systems	A2
MODULARITY	International Conference on Modularity	A2
MS	IEEE International Conference on Mobile Services	B2
MSSUW	IEEE MS Special Track on Services for the Ubiquitous Web	B5
MSN	IEEE International Conference on Mobile Ad-Hoc and Sensor Networks	B2
MSR	Working Conference on Mining Software Repositories	A1
MSV	WC International Conference on Modeling, Simulation and Visualization Methods	B5
MSWiM	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems	B1
MTD	International Workshop on Managing Technical Debt	B4
MTSR	International Conference on Metadata and Semantics Research	B2
MULTIPROG	Workshop on Programmability Issues for Heterogeneous Multicore	B4
MUM	International Conference on Mobile and Ubiquitous Multimedia	B1
MWSCAS	International Midwest Symposium on Circuits and Systems	B1
NaBIC	World Congress on Nature and Biologically Inspired Computing	B2
NAFIPS	Annual Conference of the North American Fuzzy Information Processing Society	B2
NCA	IEEE International Symposium on Network Computing and Applications	B2
Networking	IFIP Networking Conference	A2
NETWORKS	International Telecommunications Network Strategy and Planning Symposium	B3
NEWCAS	IEEE International New Circuits and Systems Conference	B2
NFM	NASA Formal Methods Symposium	A2
NFMCP	" International Workshop on New Frontiers in Mining Complex Patterns"	B4
NLDB	International Conference on Application of Natural Language to Information Systems	B1
NLPCS	International Workshop on Natural Language Processing and Cognitive Science	B5
NOF	International Conference on Network of the Future	B2
NOMS	IEEE/IFIP Network Operations and Management Symposium	A2
NRW	Asia Pacific Advanced Network Research Workshop	B5
NTMS	IFIP International Conference on New Technologies, Mobility and Security	B1
OOPSLA	Conference on Object-Oriented Programming Systems, Languages, and Applications	A1
OPODIS	International Conference on Principles of Distributed Systems	B1
OR	International Conference on Operations Research	B2
OSS	International Conference on Open Source Systems	B2
P2P	International Conference on Peer-to-Peer Computing	B1
PAAMS	International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability	B2
PAAMSW	International Workshops of Practical Applications of Agents, Multi-Agent Systems, and Sustainability	B5
PacificVis	IEEE Pacific Visualization Symposium	A2
PACT	International Conference on Parallel Computing Technologies	B1
PADS	ACM SIGSIM Conference on Principles of Advanced Discrete Simulation	B1
PAKDD	Pacific-Asia Conference on Knowledge Discovery and Data Mining	A2
PAM	Passive and Active Network Measurement Conference	A2
ParCO	International Conference on Parallel Computing	B2
PATAT	International Conference on the Practice and Theory of Automated Timetabling	B5
PATMOS	International Workshop on Power and Timing Modeling, Optimization and Simulation	B3
PCS	Picture Coding Symposium	B1
PDCAT	International Conference on Parallel and Distributed Computing, Applications and Technologies	B1
PDP	Euromicro International Conference on Parallel, Distributed and Network-Based Processing	A2
PDPTA	WC International Conference on Parallel and Distributed Processing Techniques and Applications	B5
PE-WASUM	ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks	B2
PERCOM	International Conference on Pervasive Computing and Communications	A1
PETRA	ACM International Conference on PErvasive Technologies Related to Assistive Environments	B1
PIMRC	International Symposium on Personal, Indoor and Mobile Radio Communications	A1
PLATEAU	Workshop on Evaluation and Usability of Programming Languages and Tools	B4
PLDI	SIGPLAN Conference on Programming Language Design and Implementation	A1
PLOP	Conference on Pattern Languages of Programs	B2
POPL	Symposium on Principles of Programming Languages	A1
PPoPP	ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming	A1
PRDC	Pacific Rim International Symposium on Dependable Computing	B1
PRIMA	International Conference on Principles and Practice of Multi-Agent Systems		B2
PROFES	International Conference on Product-Focused Software Process Improvement	B2
PROMISE	International Conference on Predictive Models and Data Analytics in Software Engineering	B2
PST	Annual Conference on Privacy, Security and Trust	B1
QEST	International Conference on Quantitative Evaluation of Systems	B1
QoMEX	International Workshop on Quality of Multimedia Experience	B3
QoSA	International ACM Sigsoft Conference on the Quality of Software Architectures	B2
QUATIC	International Conference on Quality of Information and Communications Technology	B2
RANLP	"International Conference on Recent Advances in Natural Language Processing "	B1
RCIS	International Conference on Research Challenges in Information Science	B1
RE	International Requirements Engineering Conference	A2
RECOMB	International Conference on Research in Computational Molecular Biology	A2
RECONFIG	International Conference on Reconfigurable Computing and FPGAs	B1
RecSYS	ACM Conference on Recommender Systems	A1
REFSQ	International Working Conference on Requirements Engineering: Foundations for Software Quality	B1
REM	Workshop on Reactivity, Events and Modularity	B5
RESER	International Workshop on Replication in Empirical Software Engineering Research	B5
RFID	IEEE International Conference on RFID	B1
RoboCup	Robocup International Symposium	B1
ROSE	International Symposium on Robotic and Sensors Environments	B2
RSP	International Symposium on Rapid System Prototyping	B2
RTCSA	International Conference on Embedded and Real-Time Computing Systems and Applications	B1
RTSS	Real-Time Systems Symposium	A2
SAC	ACM Symposium on Applied Computing	A1
SAC	the 30th Annual ACM Symposium	A1
SACCONET	International Conference on Smart Communications in Network Technologies	B5
SAC	Workshop on Selected Areas in Cryptography	A2
SAFECOMP	International Conference on Computer Safety, Reliability, and Security	B1
SAM	WC International Conference on Security and Management	B5
SAMOS	International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation	B1
SANER	IEEE International Conference on Software Analysis, Evolution and Reengineering	B2
SASO	International Conference on Self-Adaptive and Self-Organizing Systems	B1
SAST	Brazilian Workshop on Systematic and Automated Software Testing	B5
SAT	International Conference on Theory and Applications of Satisfiability Testing	A2
SBACPAD	International Symposium on Computer Architecture and High Performance Computing Workshop	B4
SBAC-PAD	International Symposium on Computer Architecture and High Performance Computing	(SBAC-PAD)	B1
SBBD	Simpósio Brasileiro de Banco de Dados	B2
SBBD	Brazilian Symposium on Databases	B2
SBCARS	2016 X Brazilian Symposium on Software Components	B3
SBCARS	2016 X Brazilian Symposium on Components	B3
SBCARS	IX Brazilian Symposium on Components	B3
SBCARS	Brazilian Symposium on Components, Architectures and Reuse Software	B3
SBCCI	Symposium on Integrated Circuits and Systems Design	B3
SBCM	Simpósio Brasileiro de Computação Musical	B4
SBCUP	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	B4
SBES	Brazilian Symposium on Software Engineering	B2
SBES	Simpósio Brasileiro de Engenharia de Software	B2
SBES	the 30th Brazilian Symposium SBES	B2
SBGames	Simpósio Brasileiro de Jogos e Entretenimento Digitali	B2
SBGAMES	2014 Brazilian Symposium on Computer Games and Digital Entertainment	B2
SBESC	Simposio Brasileiro de Engenharia de Sistemas	B3
SBESC	Brazilian Symposium on Computing System Engineering	B3
SBESC	2014 Brazilian Symposium on Computing Systems Engineering (SBESC)	B3
SBIA	Brazilian Symposium on Artificial Intelligence	B2
SBIAGRO	Congresso Brasileiro de Agroinformática	B5
SBIE	Simpósio Brasileiro de Informática na Educação	B1
SBLP	Brazilian Symposium on Programming Languages	B3
SBMF	Brazilian Symposium on Formal Methods	B3
SBMicro	Symposium on Microelectronics Technology and Devices	B4
SBPO	Simpósio Brasileiro de Pesquisa Operacional	B4
SBQS	Simpósio Brasileiro de Qualidade de Software	B3
SBRC	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	B2
SBRC	XXXIV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	B2
SBRC	2015 XXXIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	B2
SBSC	Simpósio Brasileiro de Sistemas Colaborativos	B3
SBSeg	Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais	B3
SBSI	Simpósio Brasileiro de Sistemas de Informação	B3
SC	International Conference for High Performance Computing, Networking, Storage and Analysis	A1
SCAM	IEEE International Working Conference on Source Code Analysis and Manipulation	B1
SCCC	International Conference of the Chilean Computer Science Society	B3
SCCTSA	International Workshop on Smart City Clouds: Technologies, Systems and Applications	B5
SCSS	International Symposium on Symbolic Computation in Software Science	B4
SDE	IEEE Symposium on Differential Evolution	B4
SDM	SIAM International Conference on Data Mining	A1
SEAA	Euromicro Conference on Software Engineering and Advanced Applications	B1
SECURWARE	IARIA International Conference on Emerging Security Information, Systems and Technologies	B5
SEFM	International Conference on Software Engineering and Formal Methods	B1
SEKE	International Conference on Software Engineering and Knowledge Engineering	B1
SEKE	International Conference on Software Engineering and Knowledge Engineering (SEKE)	B1
SEKE	SEKE 2015 - 015 International Conference on Software Engineering and Knowledge Engineering	B1
SEKE	The 27th International Conference on Software Engineering and Knowledge Engineering	B1
SELCE	"Workshop on Silicon Errors in Logic – System Effects "	B5
SEMAPRO	IARIA International Conference on Advances in Semantic Processing	B5
SemEval	International Workshop on Semantic Evaluation	B5
SEMISH	Seminário Integrado de Software e Hardware	B4
SENSORNETS	International Conference on Sensor Networks	B3
SenSys	ACM Conference on Embedded Network Sensor Systems	A1
SERP	WC International Conference on Software Engineering Research and Practice	B5
SERVICES	IEEE World Congress on Services	A2
SIBGRAPI	27th SIBGRAPI Conference on Graphics	B1
SIBGRAPI	Conference on Graphics SIBGRAPI	B1
SIBGRAPI	Conference on Graphics, Patterns and Images	B1
SIGCOMM	ACM SIGCOMM Conference	A1
SIGCSE	ACM Technical Symposium on Computer Science Education	A1
SIGDOC	International Conference on Design of Communication	B2
SIGIR	"International ACM SIGIR Conference on Research and Development in Information Retrieval"	A1
SIGKDD	ACM International Conference on Knowledge Discovery and Data Mining	A1
SIGMOD	ACM Conference on Management Data	A1
SIIE	Simpósio Internacional de Informática Educatica	B3
SIMULTECH	International Conference on Simulation and Modeling Methodologies, Technologies and Applications	B2
SIMUTools	International Conference on Simulation Tools and Techniques	B1
SISAP	International Conference on Similarity Search and Applications		B2
SLISW	Simposio Latinoamericano de Ingeniería de Software	B5
SLT	Workshop on Spoken Language Technology	A2
SKD	Symposium on Knowledge Discovery	C
SMARTGREENS	International Conference on Smart Grids and Green ICT Systems	B3
SmartGridComm	IEEE International Conference on Smart Grid Communications	A1
SMC	IEEE International Conference on Systems, Man and Cybernetics	A2
SOC	International Symposium on System-on-Chip	B3
SOCC	IEEE International System-on-Chip Conference	B2
SocialCom	International Conference on Social Computing	A1
SocInfo	International Conference on Social Informatics	B1
SOCM	International Workshop on the Theory and Practice of Social Machines	B4
SC	Intentational Conference on Software Composition	B4
SoCS	International Symposium on Combinatorial Search	B1
SOFSEM	International Conference on Current Trends in Theory and Practice of Computer Science	B1
SOFTSEM	International Conference on Current Trends in Theory and Practice of Computer Science	B1
SoftCOM	International Conference on Software, Telecommunications and Computer Networks	B1
SOFTENG	IARIA International Conference on Advances and Trends in Software Engineering	B5
SOSE	IEEE International Symposium on Service-Oriented System Engineering	B1
SPA	Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference	B3
SPIRE	"International Symposium on String Processing and Information Retrieval "	B1
SPLASH	ACM SIGPLAN Conference on Systems, Programming, Languages and Applications: Software for Humanity	B1
SPLC	International Software Product Line Conference: New Directions in Systems and Software Product Line Engineering	A1
SPLC	International Software Product Line Conference	A1
SPLC	18th International Software Product Line Conference	A1
SRDS	IEEE Symposium on Reliable Distributed Systems	B1
SSBSE	International Symposium on Search Based Software Engineering	B1
SSCI	IEEE Symposium Series on Computational Intelligence Multiconference	B4
SSDBM	International Conference on Scientific and Statistical Database Management	B1
SSPR	International Workshop on Structural and Syntactic Pattern Recognition	B2
STIL	Brazilian Symposium in Information and Human Language Technology	B3
SugarLoafPLop	Latin American Conference on Pattern Languages of Programming	B4
SUM	International Conference on Scalable Uncertainty Management	B1
SummerSim	Summer Simulation Multi-conference	B4
SustainIT	Conference on Sustainable Internet and ICT for Sustainability	B4
SVR	Symposium on Virtual and Augmented Reality	B2
SWEET	Workshop on Scalable Workflow Execution Engines and Technologies	B4
SWWS	WC International Conference on Semantic Web and Web Services	B5
SYSCON	IEEE International Systems Conference	B3
T&DLA	IEEE PES Transmission & Distribution Conference and Exposition Latin America	B4
TAROS	Towards Autonomous Robotics Systems	B2
TEI	International Conference on Tangible, Embedded and Embodied Interaction	B4
ToRPorEsp	Workshop on Tools and Resources for Automatically Processing Portuguese and Spanish	B5
TPDL	International Conference on Theory and Practice of Digital Libraries	B1
TrustCom	International Conference on Trust, Security and Privacy in Computing and Communications	A2
TSD	International Conference on Text, Speech and Dialogue	B2
UBICOMM	IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies	B5
UbiComp	ACM International Joint Conference on Pervasive and Ubiquitous Computing	A1
UCC	IEEE/ACM International Conference on Utility and Cloud Computing	A2
UIC	IEEE International Conference on Ubiquitous Intelligence and Computing	B2
UKSim	International Conference on Modelling and Simulation	B1
URBCOMP	International Workshop on Urban Computing	B5
VACE	the 1st International Workshop on VACE	C
VACE	International Workshop on Variability and Complexity in Software Design	C
VaMoS	International Workshop on Variability Modelling of Software-intensive Systems	A2
VaMoS	the Ninth International Workshop	A2
VAST	IEEE Conference on Visual Analytics Science and Technology	A2
VCIP	IEEE International Conference on Visual Communications and Image Processing	B1
VEM	Brazilian Workshop on Software Visualization, Evolution and Maintenance	B5
VEM	Workshop Brasileiro de Visualização, Evolução e Manutenção de Software	B5
VEM	IV Workshop on Software Visualization	B5
VEM	Workshop on Software Visualization, Evolution and Maintenance	B5
VISAPP	International Conference on Computer Vision Theory and Applications	B1
VISSOFT	IEEE Working Conference on Software Visualization	B2
VLHCC	IEEE Symposium on Visual Languages and Human-Centric Computing	B1
VLSI-SOC	International Conference on Very Large Scale Integration	B1
VLSID	International Conference on VLSI Design	B1
VNC	IEEE Vehicular Networking Conference	B2
VPQM	International Workshop on Video Processing and Quality Metrics for Consumer Electronics	B5
VRCIA	International Conference on Virtual Reality Continuum and its Applications	B1
VRST	ACM Symposium on Virtual Reality Software and Technology	B2
VTS	IEEE VLSI Test Symposium	B1
W2GIS	International Symposium Web and Wireless Geographical Information Systems	B2
WABI	Workshop on Algorithms in Bioinformatics	B1
WAC	Web as Corpus Workshop	B5
WACV	Winter Conference on Applications of Computer Vision	A1
WALCOM	International Workshop on Algorithms and Computation	B2
WAMCA	Workshop on Applications for Multi-Core Architectures	B4
WAOA	Workshop on Approximation and Online Algorithms	B2
WCAMA	Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais	B5
WCAS	Workshop on Circuits and Systems Design	B5
WCGE	Workshop de Computação Aplicada ao Governo Eletrônico	B5
WCNC	IEEE Wireless Communications and Networking Conference	B1
WCRE	Working Conference on Reverse Engineering	A2
WD	Wireless Days Conference	B1
WDES	Workshop de Desenvolvimento Distribuído de Software	B5
WEA	International Workshop on Ecosystems Architectures	B4
WEA	IV International Workshop on Ecosystems Architectures	B4
WEA	Workshop on Experimental and Efficient Algorithms	A2
WEAC	Workshop sobre Educação em Arquitetura de Computadores	B5
WearSys	Workshop on Wearable Systems and Applications	B4
WEB3D	International Conference on 3D Web Technology	B1
WIC	International Conference on Web Intelligence	B1
WEBIST	International Conference on Web Information Systems and Technologies	B2
WEBMIDIA	Brazilian Symposium on Multimedia and the Web	B3
WEBMIDIA	Webmedia	B3
WEBMIDIA	the 21st Brazilian on	B3
WebSci	Web Science Conference	A2
WEI	Workshop sobre Educação em Computação	B3
WER	Workshop on Requirements Engineering	B5
WESB	Workshop de Engenharia de Software Baseada em Busca	B5
WETICE	IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises	B1
WF-IoT	IEEE World Forum on Internet of Things	B3
WFA	Workshop de Ferramentas e Aplicações	B5
WFCS	IEEE World Conference on Factory Communication Systems	B3
WG	International Workshop on Graph-Theoretic Concepts in Computer Science	B2
WHC	World Haptics Conference	B5
WI-WIC	IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology	B1
WICSA	Working IEEE/IFIP Conference on Software Architecture	B1
WIE	Workshop de Informática na Escola	B3
WIM	Workshop de Informática Médica	B4
WiMob	International Conference on Wireless and Mobile Computing, Networking and Communications	A2
WISE	International Conference on Web Information Systems Engineering	B1
WiSec	ACM Conference on Security & Privacy in Wireless and Mobile Networks	B2
WISM	Workshop on Web Information Systems Modeling	B5
WMNC	Wireless and Mobile Networking Conference	B2
WMOD	"Workshop on Software Modularity "	B5
WNUT	Workshop on Noisy User-generated Text	B4
WOCC	Wireless and Optical Communications Conference	B2
WOCCES	Workshop de Comunicação em Sistemas Embarcados Crítico	B5
WoLLIC	Workshop on Logic, Language, Information and Computation	B2
WoMO	"International Workshop on Modular Ontologies "	B5
WoWMoM	International Symposium on a World of Wireless, Mobile and Multimedia Networks	A2
WP2P+	Workshop de Redes P2P, Dinâmicas, Sociais e Orientadas a Conteúdo	B5
WPEIF	Workshop de Pesquisa Experimental da Internet do Futuro	B5
Wperformance	Workshop em Desempenho de Sistemas Computacionais e de Comunicação	B3
WRVA	Workshop de Realidade Virtual e Aumentada	B5
WSA	Track on Women in Software Architecture	C
WSC	Winter Simulation Conference	B2
WSCAD	Simpósio em Sistemas Computacionais de Alto Desempenho	B3
WSCG	International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision	B3
WSDM	ACM Conference International Conference on Web Search and Data Mining	A1
WTRANS	Workshop de Transparência de Sistema	B5
WTTM	Workshop on the Theory of Transactional Memory	B5
WUWNet	International Conference on UnderWater Networks and Systems	B2
WVC	Workshop de Visão Computacional	B5
WWW	International World Wide Web Conferences	A1
WWWW	International World Wide Web Conference (Workshops)	B4
XP	International Conference on Agile Software Development	B1
